Cozinha;Pote marinex;163.00;1;163.00;163.00;0.00;(1) Jogo De Potes Marinex Facilita 750ml 6 -unidades Cor Sortidos | Frete grátis (mercadolivre.com.br);https://static.mobly.com.br/p/Marinex-Tigela-Quadrada-2L-Marinex-Facilita-Pote-De-Vidro-Temperado-Com-Tampa-PlC3A1stica-De-Cores-Sortidas-5192-925048-4-zoom.jpg;
Quarto;Mesa em L (fazuele);279.99;9;31.11;262.99;17.00;Mesa Em L Industrial Escrivaninha De Canto Nórdico Vintage Ferro E Madeira Laminada Com Preto E-led MESLMAGN | Frete grátis (mercadolivre.com.br);https://images.tcdn.com.br/img/img_prod/571683/mesa_em_l_para_escritorio_157_5x135cm_estilo_industrial_f22_pradel_moveis_18263_1_d6322992a9f7993d174811f54b8d2f14.jpg;
Quarto;Espelho ;85.40;1;85.40;85.40;0.00;Espelho Grande Organico Lapidado Decorativo Sala Hall Parede 70x50 Cm Moderno C/ Dupla Face | MadeiraMadeira;https://images.tcdn.com.br/img/img_prod/1215519/espelho_decorativo_industrial_boston_5079_2_defabedc4287795b72c83cf10d23d62f.jpg;
Quarto;capa colchão;69.99;1;69.99;69.99;0.00;Capa Para Colchão Com Fronhas Impermeavel Matelado Com Elastico | Shopee Brasil;;
Sala;Cortina quarto;179.99;5;36.00;179.99;0.00;https://www.mercadolivre.com.br/cortina-voil-com-forro-blackout-tecido-4x290-ana-branco-cor-palha/p/MLB33981113#searchVariation=MLB33981113&position=5&search_layout=grid&type=product&tracking_id=65d351f9-0163-4b80-a2e6-acb3c367b7da;;
Sala;Mesa de centro;79.99;1;79.99;79.99;0.00;(1) Mesa De Centro Retrô Lívia Off White | MercadoLivre;;
Sala;Mesa de apoio;99.90;1;99.90;99.90;0.00;https://shopee.com.br/Jogo-De-Mesinhas-Lateral-Redonda-Sala-Pe-Palito-Retro-Madeira-Maci%C3%A7a-i.319805492.3376164568?sp_atk=7e590fa6-78b8-4bc5-a12c-471081496524&xptdk=7e590fa6-78b8-4bc5-a12c-471081496524;;
Sala;Tapete sala cor S576;339.00;12;28.25;339.00;0.00;Tapete de Sala 200x250 Luxo Sisal Melhor Preço Antiderrapante | Shopee Brasil;;Mesa De Centro Para Sala De Estar 8020 Nature/pérola | Leroy Merlin
Sala;Rack;312.31;12;26.03;272.90;39.41;https://shopee.com.br/Rack-para-TV-At%C3%A9-55-Polegadas-Malbec-Wood-Retr%C3%B4-1-Porta-1-Prataleira-Off-White-Freij%C3%B3-Giga-M%C3%B3veis-i.580791382.23797444284?sp_atk=9259421e-c617-400f-b2c3-1a0abaa7c45c&xptdk=9259421e-c617-400f-b2c3-1a0abaa7c45c;;
Quarto;Estante de livro;679.00;10;67.90;679.00;0.00;Estante - Madeira - Cor Cinza Lavado - Crg924 | Parcelamento sem juros (mercadolivre.com.br);;
Sala;Sapateira;480.92;4;480.92;432.83;48.09;Banco Recamier Quarto Closet Madeira Almofadado Sapateira Branco - Ofertamo - Recamier / Calçadeira - Magazine Luiza;;
Cozinha;Porta copo;26.98;2;13.49;26.98;0.00;Kit 6 Porta Copos Xicara Mesa Posta Redondo Madeira Pinus Pronta Entrega | Shopee Brasil;;
